TIME,JPN_STINT,USA_STINT
2011-01,0.34,0.29
2011-02,0.34,0.28
2011-03,0.33615,0.28
2011-04,0.33286,0.23
2011-05,0.33214,0.21
2011-06,0.33214,0.22
2011-07,0.33214,0.24
2011-08,0.32857,0.29
2011-09,0.32929,0.33
2011-10,0.32929,0.37
2011-11,0.32929,0.41
2011-12,0.32929,0.49
2012-01,0.33077,0.4
2012-02,0.33167,0.3
2012-03,0.33167,0.29
2012-04,0.33167,0.29
2012-05,0.33167,0.29
2012-06,0.33455,0.32
2012-07,0.32727,0.3
2012-08,0.32727,0.26
2012-09,0.32727,0.24
2012-10,0.32636,0.23
2012-11,0.31818,0.23
2012-12,0.30818,0.24
2013-01,0.29182,0.23
2013-02,0.26909,0.22
2013-03,0.25,0.21
2013-04,0.22818,0.2
2013-05,0.22818,0.2
2013-06,0.22818,0.19
2013-07,0.228,0.14
2013-08,0.228,0.12
2013-09,0.228,0.11
2013-10,0.221,0.12
2013-11,0.22,0.12
2013-12,0.22,0.14
2014-01,0.22,0.12
2014-02,0.212,0.13
2014-03,0.212,0.12
2014-04,0.212,0.12
2014-05,0.21,0.11
2014-06,0.21,0.11
2014-07,0.21,0.13
2014-08,0.21,0.13
2014-09,0.21,0.12
2014-10,0.192,0.12
2014-11,0.182,0.13
2014-12,0.179,0.15
2015-01,0.173,0.16
2015-02,0.171,0.15
2015-03,0.17,0.14
2015-04,0.17,0.13
2015-05,0.169,0.15
2015-06,0.169,0.18
2015-07,0.169,0.19
2015-08,0.169,0.26
2015-09,0.169,0.27
2015-10,0.169,0.25
2015-11,0.169,0.3
2015-12,0.169,0.54
2016-01,0.169,0.57
2016-02,0.098,0.54
2016-03,0.098,0.55
2016-04,0.06,0.55
2016-05,0.06,0.57
2016-06,0.059,0.55
2016-07,0.058,0.62
2016-08,0.058,0.73
2016-09,0.056,0.75
2016-10,0.056,0.72
2016-11,0.056,0.71
2016-12,0.056,0.87
2017-01,0.056,0.9
2017-02,0.056,0.87
2017-03,0.056,0.98
2017-04,0.056,1.03
2017-05,0.056,1.05
2017-06,0.056,1.16
2017-07,0.075,1.22
2017-08,0.056,1.25
2017-09,0.056,1.25
2017-10,0.063,1.26
2017-11,0.063,1.32
2017-12,0.063,1.54
2018-01,0.068,1.63
2018-02,0.068,1.78
2018-03,0.097,2.08
2018-04,0.097,2.2
2018-05,0.078,2.16
2018-06,0.078,2.19
2018-07,0.091,2.17
2018-08,0.091,2.19
2018-09,0.05,2.24
2018-10,0.05,2.37
2018-11,0.05,2.56
2018-12,0.05,2.69
2019-01,0.03,2.59
2019-02,0.03,2.49
2019-03,0.05,2.48
2019-04,0.05,2.47
2019-05,0.049,2.44
2019-06,0.049,2.3
2019-07,0.049,2.22
2019-08,0.009,2.06
